id;purchased;usage_no;valid_from;valid_to;pass_type_id;user_id
1;2021-02-08;34742;2021-02-08;2021-02-08;1;1
2;2021-02-08;65165;2021-02-08;2021-02-08;2;2
3;2021-02-08;21471;2021-02-07;2021-02-08;3;3
4;2021-02-08;22470;2021-02-08;2021-02-08;4;4
5;2021-02-07;98238;2021-02-08;2021-02-08;5;5
6;2021-02-08;63635;2021-02-08;2021-02-08;6;6
7;2021-02-08;25973;2021-02-08;2021-02-08;7;7
8;2021-02-08;52398;2021-02-08;2021-02-08;8;8
9;2021-02-07;24413;2021-02-08;2021-02-08;9;9
10;2021-02-07;95331;2021-02-08;2021-02-08;10;10
