id;name;description;duration_days;price;occasions;available_for_type_id
1;intermediate Sharable;supply-chains front-end Multi-channelled;42533;attitude-oriented THX;84532;1
2;client-server Human;Sleek Frozen Chicken hard drive;57248;olive;17741;2
3;Bedfordshire Web;Pizza Electronics transform;64790;driver;33821;3
4;Home Loan Account Ergonomic Steel Pants Shirt;Checking Account Oklahoma;17790;Divide;89666;4
5;Buckinghamshire Gibraltar Pound;attitude model;66159;invoice expedite;16163;5
6;panel Public-key;model Re-engineered;40250;Mills;69417;6
7;national Incredible;Suriname;86497;Producer;54949;7
8;lime Lakes Agent;deposit Gloves Brazilian Real;89014;Coordinator Money Market Account;83044;8
9;neural;deposit SMTP;14455;Avon;42331;9
10;JSON parse;Product;57169;Fresh withdrawal New Mexico;48179;10
